station_name,month,latitude,longitude,altitude,mean_daily_maximum_temperature_in_c,mean_daily_minimum_temperature_in_c,max_high_temp_value,max_high_temp_date,max_low_temp_value,max_low_temp_date,min_high_temp_value,min_high_temp_date,min_low_temp_value,min_low_temp_date,mean_monthly_total_rainfall_in_mm,mean_monthly_rainy_days,max_rainfall_value,max_rainfall_date,mean_of_highest_maximum_temperature_in_the_month_in_c,mean_of_lowest_minimum_temperature_in_the_month_in_c,mean_dry_bulb_temperature_in_c_03UTC,mean_dry_bulb_temperature_in_c_12UTC,mean_wet_bulb_temperature_in_c_03UTC,mean_wet_bulb_temperature_in_c_12UTC,mean_station_level_pressure_in_hpa_03UTC,mean_station_level_pressure_in_hpa_12UTC,mean_vapour_pressure_in_hpa_03UTC,mean_vapour_pressure_in_hpa_12UTC,mean_relative_humidity_in_percent_03UTC,mean_relative_humidity_in_percent_12UTC,mean_total_clouds_in_okta_03UTC,mean_total_clouds_in_okta_12UTC,mean_low_clouds_in_okta_03UTC,mean_low_clouds_in_okta_12UTC,mean_wind_speed_in_kmph,district,state,controlling_rmc,controlling_mc,station_number
ADILABAD,1,19.65,78.53333333,269,29.2,13.2,37.2,30-01-1984,18,11-01-1981,27.5,31-01-1985,4.5,26-01-2018,22.3,0.9,117.6,31-01-2005,32.9,8,19.1,27.1,15.7,20.1,985.8,982.6,15.3,18.2,68,51,1.9,1.8,1.6,1.5,4.7,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,2,19.65,78.53333333,269,32.8,16.2,38.5,28-02-1985,19.6,12-02-1992,24.5,22-02-2019,6.4,01-02-2018,4.7,0.5,18.6,13-02-2018,36.2,10.5,22.9,30.5,18.1,21.7,984.3,980.8,17.3,19.6,61,46,2,2,1.7,1.8,5.9,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,3,19.65,78.53333333,269,36.7,20.7,42.8,22-03-2004,25.8,06-03-2023,29.2,30-03-2004,10.7,13-03-2017,24.7,1.7,56,24-03-2008,40.4,15.7,27.6,34.5,21.4,24.2,982.3,978.7,20.8,22.9,56,42,2,2.1,1.6,1.7,7.3,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,4,19.65,78.53333333,269,40.4,24.8,46.6,19-04-2010,30.5,12-04-2024,33,30-04-2021,14.6,11-04-2017,11.6,1.1,33.6,14-04-2015,43,20.1,31.6,37.5,23.6,25.5,979.5,975.9,23,24.2,49,37,2.5,2.5,2,2.1,8.5,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,5,19.65,78.53333333,269,42.5,28.3,47.3,25-05-2010,30.5,04-05-2023,34.2,23-05-1994,20.1,05-05-1981,14.4,1.4,32,09-05-1981,45.3,24.3,34.4,39.9,25,25.8,977.3,973.7,24.9,23.2,45,31,2.7,2.7,2.4,2.5,11.7,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,6,19.65,78.53333333,269,37.2,26.5,46.8,05-06-1995,24.3,26-06-2013,34.9,11-06-1980,18.2,29-06-2018,131.1,6.6,133.2,25-06-2002,43.2,22.6,30.7,35.2,25,26,974.7,972.3,27.3,26.9,63,49,2.8,2.8,2.5,2.5,9.9,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,7,19.65,78.53333333,269,31.9,24.3,39.7,02-07-1982,23.8,12-07-1994,29.3,02-07-1996,18.8,06-07-2018,305.1,13.7,208.7,04-07-1994,36.2,22.1,27.4,29.7,24.4,25.5,973.8,973,28.2,29.2,77,71,2.9,3,2.9,3,7.1,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,8,19.65,78.53333333,269,30.6,24,38.7,07-08-1983,23.3,01-08-2013,30.1,11-08-1997,18.2,21-08-2018,231.1,10.4,255,04-08-2008,33.9,22.2,26.8,28.5,24.3,25.2,975.2,973.5,28.3,29.4,80,75,2.6,2.5,2.4,2.3,6.9,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,9,19.65,78.53333333,269,32.3,23.4,39.1,17-09-1984,22.1,24-09-2017,27.6,25-09-1997,12.1,04-09-2017,135.7,7.2,126.3,01-09-1995,35,20.8,27.2,29.8,24.5,25.4,977.8,976,28.5,29.1,79,70,2.5,2.4,2.3,2.2,4.7,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,10,19.65,78.53333333,269,32.5,20.4,38.3,02-10-2020,23.2,20-10-1995,28.6,14-10-2010,10.2,30-10-2018,86.6,2.6,252.3,20-10-1995,35.4,16.1,25.8,29.6,22.7,24.8,981.7,979.4,25.4,27.7,76,67,1.8,1.9,1.5,1.6,4.3,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,11,19.65,78.53333333,269,30.9,15.8,38.3,22-11-2018,17.5,26-11-1991,24.7,15-11-2004,6.8,27-11-2018,8.2,0.6,70.8,18-11-2009,33,11.6,22.7,28.2,19.4,22.4,983.8,981,20.2,23,72,59,2.1,2.1,1.7,1.6,4,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADILABAD,12,19.65,78.53333333,269,29.3,12.7,36,21-12-1984,20.3,18-12-2018,22.4,01-12-1997,1.9,14-12-2013,1.3,0.1,27.2,29-12-1980,32.3,7.2,19.1,26.5,15.9,20.5,985.9,982.5,16,20.1,70,57,2.4,2.3,1.9,1.8,3.4,ADILABAD,TELANGANA,CHENNAI,HYDERABAD,43025
ADIRAMAPATTINAM,1,10.33333333,79.38333333,6,30.5,20.7,34.6,10-01-1977,22.8,01-01-2019,26.1,24-01-2022,15.8,20-01-1990,24.5,1.6,141.5,13-01-1923,32.3,18.1,24,27.6,22.4,23.4,1013.9,1010.4,25.8,25.5,86,68,3.4,3.5,1.4,1.4,6.2,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,2,10.33333333,79.38333333,6,32,21.4,35.2,28-02-2013,24.8,02-02-2002,27.2,24-02-2024,15.6,05-02-1989,18.5,0.9,176.3,02-02-2002,33.7,18.4,25.2,29.3,23.3,24,1013.2,1009.5,27.2,25.6,84,62,2.8,2.7,1.2,1.1,6.3,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,3,10.33333333,79.38333333,6,33.3,23.5,37.2,23-03-2022,26,01-03-1974,29.6,18-03-1969,16.2,11-03-1992,18.2,1,119.4,20-03-1967,35.3,20,27.8,30.8,25.2,25.5,1011.7,1007.7,30,28.4,80,64,3,2.6,1.6,1,6.6,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,4,10.33333333,79.38333333,6,34.3,26.5,43,29-04-1979,27,06-04-2005,30.1,24-04-1998,20.4,22-04-1999,46.5,2.5,92.7,15-04-1939,36.3,23.2,30.4,31.8,27,27.2,1009.7,1005.6,32.9,32.4,75,68,4.2,3.7,2.3,1.3,8.1,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,5,10.33333333,79.38333333,6,34.4,27,42,05-05-1976,26.8,14-05-1972,30.6,05-05-2024,18.5,23-05-2013,74,3.1,161,13-05-1943,37.6,22.7,30.8,31.6,27,28,1007.1,1003.6,32.7,35,74,75,4.2,4.3,1.8,1.5,9.3,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,6,10.33333333,79.38333333,6,34.6,26.4,41.6,06-06-1979,28.1,19-06-2023,30.4,27-06-2015,19.2,07-06-1983,33.2,2.6,79.4,06-06-1985,38.2,23.4,30.4,31.1,25.8,27.5,1006.2,1003.1,29.7,33.9,68,75,4.6,5.3,1.4,1.9,9,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,7,10.33333333,79.38333333,6,34.6,25.8,42,24-07-1976,28.8,18-07-2016,30.6,03-07-1969,20.9,26-07-2016,52.4,3.5,116.8,28-07-1945,38,22.7,29.9,30.8,25.2,27.1,1006.6,1003.4,28.3,32.9,67,74,5,5.7,1.6,2.2,7.8,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,8,10.33333333,79.38333333,6,34.2,25.4,39.5,11-08-2010,26.5,14-08-2009,29.8,11-08-1977,21,26-08-2005,89.4,4.6,128.4,09-08-2017,37.6,22.8,29.3,30.5,25.2,26.9,1007.5,1004,28.6,32.6,70,74,5,5.4,1.7,2.2,8,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,9,10.33333333,79.38333333,6,33.7,25.3,38.9,17-09-2024,27,29-09-2004,29.2,16-09-1977,21,29-09-2020,108.2,5,146.1,26-09-1942,37,22.4,29.1,30.2,25.4,26.8,1008.5,1004.8,29.5,32.5,73,76,4.7,5.3,1.8,2.1,8,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,10,10.33333333,79.38333333,6,32.3,24.6,39,28-10-1976,24.5,31-10-2012,29.6,09-10-2020,19,10-10-1983,211.6,9.9,280.2,23-10-1977,35.1,22.2,27.9,29.1,25.5,26.2,1010,1006.5,30.7,31.6,81,78,5.2,5.6,2.1,2.2,5.5,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,11,10.33333333,79.38333333,6,30.4,23.2,35.5,19-11-1987,22.4,29-11-1970,28.2,22-11-1977,18.2,28-11-1988,294,12.1,333.6,27-11-2008,33,20.7,26.2,27.5,24.6,25.1,1011.4,1008.2,29.8,30,87,81,5.2,5.7,2.2,2.2,5.1,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
ADIRAMAPATTINAM,12,10.33333333,79.38333333,6,29.7,21.7,34,13-12-2010,20.8,24-12-2017,27,07-12-2006,16.2,01-12-2016,160.7,6.2,363,23-12-1983,31.9,19,24.7,26.9,23.1,24,1013.1,1010,27,27.6,86,78,4.5,4.9,1.8,1.9,6.3,THANJAVUR,TAMIL NADU,CHENNAI,-----,43348
AGARTALA,1,23.88333333,91.23333333,16,24.9,10.8,32.2,27-01-2017,14.8,10-01-2013,20.2,31-01-2025,3.3,10-01-2013,6.2,0.6,200,26-01-1984,29.2,6.8,15.9,19.8,14.5,16.9,1015.3,1012,15.5,17.1,85,73,2,1.8,0.7,0.6,1.5,WEST TRIPURA,TRIPURA,GUWAHATI,AGARTALA,42724
AGARTALA,2,23.88333333,91.23333333,16,28.5,14.3,35.1,28-02-1969,18,11-02-1981,29.4,29-02-1980,4.7,07-02-1983,19.1,1.6,142.2,19-02-1993,32.2,9.3,20.1,24,17.5,19.5,1013.7,1010.1,18.2,19.1,77,63,2.1,2.1,1,0.6,2.3,WEST TRIPURA,TRIPURA,GUWAHATI,AGARTALA,42724
