Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-27 20:12:21,Mechanical Engineering,Cartosense,Bangalore,Immediately,"₹ 10,000 /month",3 Months,16 Oct' 25,Nothing,Not Specified,"Effective Communication, SolidWorks",Flexible
2025-09-27 20:12:22,Webtoon Production Artist,Integral Solution,Bangalore,Immediately,"₹ 25,000 - 30,000 /month",6 Months,3 Oct' 25,Nothing,Not Specified,"Adobe Photoshop, Clip Studio Paint","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 20:12:24,Founders Office,VectorX DB,Bangalore,Immediately,"₹ 10,000 - 15,000 /month",6 Months,10 Oct' 25,Nothing,"1. Students/recent graduates in HR, Business, Marketing, or related fields","Effective Communication, English Proficiency (Spoken), Human Resources, Internet, Interpersonal skills, MS-Office, Negotiation","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-27 20:12:26,Motion Graphics (AI Tools),Integral Solution,Bangalore,Immediately,"₹ 30,000 - 35,000 /month",6 Months,10 Oct' 25,Nothing,Not Specified,"AI Image Generation, Animation, Generative AI Tools, Motion Graphics","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 20:12:27,Video Editing/Making,2care AI,Bangalore,Immediately,"₹ 10,000 /month",3 Months,10 Oct' 25,Nothing,Not Specified,Video Editing,"Certificate, Letter Of Recommendation"
2025-09-27 20:12:28,Business Development (Sales),Digitory Solutions,Bangalore,Immediately,"₹ 14,000 - 21,000 /month",6 Months,11 Oct' 25,Nothing,1. Fresh graduates (any stream) with strong communication skills.,"Analytical Thinking, Effective Communication, English Proficiency (Written), Interpersonal skills, Sales Management",Mentorship
2025-09-27 20:12:30,Business Development (Sales),Playto Labs,Bangalore,Immediately,"₹ 15,000 /month",4 Months,22 Oct' 25,Nothing,Not Specified,"Effective Communication, Interpersonal skills",Not Available
2025-09-27 20:12:31,Business Development Associate Trainee,Playto Labs,Bangalore,Immediately,"₹ 12,000 - 15,000 /month",4 Months,22 Oct' 25,Nothing,Not Specified,"Effective Communication, Lead Generation, Marketing, Sales",Not Available
2025-09-27 20:12:32,Business Development,Playto Labs,Bangalore,Immediately,"₹ 12,000 - 15,000 /month",4 Months,22 Oct' 25,Nothing,Not Specified,"Effective Communication, Lead Generation, Marketing, Sales",Not Available
2025-09-27 20:12:34,Recruitment Consultant,Hiringlabs Business Solutions (HBS),Bangalore,Immediately,"₹ 5,200 - 10,500 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), Recruitment","Certificate, Letter Of Recommendation"
2025-09-27 20:12:35,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025-09-27 20:12:35,Sales and Marketing,Intrax Corp,Bangalore,Immediately,"₹ 6,000 - 1,10,000 /month",2 Months,24 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written)","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-27 20:12:36,Inside Sales,Kraf Ventures,Pune,Immediately,"₹ 10,000 - 17,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"Effective Communication, MS-Excel, Presentation skills","Certificate, Flexible, Letter Of Recommendation"
