Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-27 23:12:57,Operations & Marketing,Blue Damp Lifestyle,Chennai,Immediately,"₹ 8,000 - 10,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"Creativity, Instagram Marketing, MS-Excel, Problem Solving, Social Media Marketing",Certificate
2025-09-27 23:12:59,Business Research,Nesa Medtech Private Limited,Chennai,Immediately,"₹ 10,000 /month",2 Months,26 Oct' 25,Nothing,1. Bachelor of Business Administration (BBA) – freshers encouraged to apply.,"English Proficiency (Spoken), Interpersonal skills, MS-Office, Networking","Certificate, 5 Days A Week"
2025-09-27 23:13:01,Business Development (Sales),Thryve Z,Chennai,Immediately,"₹ 17,000 - 35,000 /month",2 Months,25 Oct' 25,Nothing,"4. Recruit, train, and manage campus ambassadors across colleges.","English Proficiency (Spoken), Leadership, Marketing, Sales, Sales Strategy","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 23:13:04,Architecture,Urban Nest,Chennai,Immediately,"₹ 17,000 - 25,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Autodesk Revit, Google SketchUp, MS-Office","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 23:13:05,Media & Public Relations (PR),Go Picnic Technology Solutions,Chennai,Immediately,"₹ 5,000 - 6,001 /month",1 Month,23 Oct' 25,Nothing,"4. are from Chennai, Tiruvallur, Kanchipuram, Avadi, Tambaram Sanatorium only","Creative Writing, English Proficiency (Spoken), Social Media Marketing","Certificate, Letter Of Recommendation"
2025-09-27 23:13:07,Business Development (Sales),Mithra Consulting,Chennai,Immediately,"₹ 15,000 - 20,000 /month",6 Months,26 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales, Sales Strategy","Certificate, Letter Of Recommendation"
2025-09-27 23:13:08,Growth (Digital+Operations),Osera Living,Chennai,Immediately,"₹ 8,000 - 12,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"Content Writing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 23:13:10,Human Resources (HR),Windzard Technologies Private Limited,Chennai,Immediately,"₹ 13,000 - 20,000 /month",4 Months,26 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Office","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 23:13:11,Business Development (Sales),Zopper,Chennai,Immediately,"₹ 12,000 - 22,000 /month",6 Months,26 Oct' 25,Nothing,1. Any kind of degree will work as long as the person is street smart,"Client Relationship, Sales Management, Sales Strategy","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 23:13:13,MBA/BBA Climate Business Internship,Energy Alternatives India,Chennai,Immediately,"₹ 15,000 - 20,000 /month",2 Months,27 Oct' 25,Nothing,Not Specified,"Business Development, Business Management, Business Research, Marketing, Strategy","Certificate, Letter Of Recommendation"
2025-09-27 23:13:15,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025-09-27 23:13:15,Sales Trainee,Avaesa,Chennai,Immediately,"₹ 5,000 - 10,000 /month",4 Months,23 Oct' 25,Nothing,Not Specified,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written)",Certificate
