Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-27 20:48:09,Human Resources (HR),Indo European Educational Services Private Limited,Delhi,Immediately,"₹ 8,000 - 10,000 /month",6 Months,11 Oct' 25,Nothing,4. HR Database & Master File Updates,"English Proficiency (Spoken), MS-Excel","Certificate, Letter Of Recommendation"
2025-09-27 20:48:11,Social Media Marketing,CRETIKPANDA,Delhi,Immediately,"₹ 5,000 - 10,000 /month",4 Months,17 Oct' 25,Nothing,Not Specified,"Digital Marketing, Facebook Marketing","Certificate, Letter Of Recommendation"
2025-09-27 20:48:12,Customer Service/Customer Support,Oceedee Shoes,Delhi,Immediately,"₹ 8,000 - 12,000 /month",3 Months,13 Oct' 25,Nothing,Not Specified,"Email Management, English Proficiency (Spoken), English Proficiency (Written)","Certificate, Letter Of Recommendation"
2025-09-27 20:48:14,Lead Generation,HangingPanda Private Limited,Delhi,Immediately,"₹ 5,000 - 8,000 /month",3 Months,20 Oct' 25,Nothing,Not Specified,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Internet, LinkedIn Marketing, MS-Excel","Certificate, 5 Days A Week"
2025-09-27 20:48:16,Graphic Design,Rishiraj Media,Delhi,Immediately,"₹ 5,000 - 7,000 /month",3 Months,3 Oct' 25,Nothing,Not Specified,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, CorelDRAW","Certificate, Flexible, Letter Of Recommendation, Mentorship, 5 Days A Week"
2025-09-27 20:48:18,Operations,Dorratrip,Delhi,Immediately,"₹ 10,000 - 15,000 /month",3 Months,10 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Research and Analytics","Certificate, Letter Of Recommendation"
2025-09-27 20:48:19,Growth & Operations,Let'Stay,Faridabad,Immediately,"₹ 15,000 - 20,000 /month",6 Months,10 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), MS-PowerPoint, Research and Analytics",Letter Of Recommendation
2025-09-27 20:48:20,Graphic Design,Oceedee Shoes,Delhi,Immediately,"₹ 8,000 - 12,000 /month",3 Months,13 Oct' 25,Nothing,Not Specified,"Adobe Illustrator, Adobe Photoshop","Certificate, Letter Of Recommendation"
2025-09-27 20:48:22,Video Creation & Editing,Tech For Social Good,Delhi,Immediately,"₹ 3,000 - 4,000 /month",4 Months,18 Oct' 25,Nothing,Not Specified,"Video Editing, Videography, Video Making","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-27 20:48:23,Admin Assistant (Remote) - Fresher,Tventurer Private Limited,Delhi,Immediately,"₹ 10,000 - 15,000 /month",6 Months,19 Oct' 25,Nothing,Not Specified,"Attention to Detail, English Proficiency (Spoken), English Proficiency (Written), MS-Excel","Certificate, Letter Of Recommendation"
