Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-27 22:08:51,sales,KAMLA MINERALS,Hyderabad,Immediately,"₹ 15,000 - 16,000 /month",6 Months,10 Oct' 25,Nothing,Not Specified,"Effective Communication, Sales, Sales Management","Certificate, Letter Of Recommendation"
2025-09-27 22:08:52,Business Operations,Ascent HR,Gurgaon,Immediately,"₹ 15,000 - 18,000 /month",6 Months,3 Oct' 25,Nothing,1. Preferring ONLY BA/BCOM/BBA/BBM/BSC graduates can apply (Not Preferring pursuing candidates),"Effective Communication, MS-Excel","Certificate, Flexible, 5 Days A Week"
2025-09-27 22:08:54,Business Development (Sales),Nilah Retail Private Limited,Hyderabad,Immediately,"₹ 16,000 - 65,000 /month",3 Months,25 Oct' 25,Nothing,Not Specified,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing","Certificate, Letter Of Recommendation, Mentorship, 5 Days A Week"
2025-09-27 22:08:56,Data Entry,Calipers Consulting Private Limited,Secunderabad,Immediately,"₹ 20,000 /month",1 Month,24 Oct' 25,Nothing,Not Specified,"Data entry, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",Not Available
2025-09-27 22:08:58,Data Entry,Calipers Consulting Private Limited,Secunderabad,Immediately,"₹ 30,000 /month",1 Month,24 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",Not Available
2025-09-27 22:09:00,Data Entry,Faiyaz Brothers,Secunderabad,Immediately,"₹ 30,000 /month",1 Month,24 Oct' 25,Nothing,Not Specified,"Data entry, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:09:02,Inside Sales,Kraf Ventures,Pune,Immediately,"₹ 10,000 - 17,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"Effective Communication, MS-Excel, Presentation skills","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:09:04,Back-office,Faiyaz Brothers,Hyderabad,Immediately,"₹ 50,000 /month",1 Month,25 Oct' 25,Nothing,Not Specified,"Data entry, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:09:06,Business Development Executive,FixityEDX,Hyderabad,Immediately,"₹ 15,000 /month",6 Months,26 Oct' 25,Nothing,"2. Lead Generation & Conversion: Identify, approach, and convert potential students into enrolled learners through field visits and consistent follow-ups.","Field Sales, Interpersonal skills, Sales Management","Certificate, Flexible, 5 Days A Week"
2025-09-27 22:09:10,.NET Development,COEPD (Center Of Excellence For Professional Development),Hyderabad,Immediately,"₹ 4,000 - 6,000 /month",6 Months,26 Oct' 25,Nothing,1. Pursuing candidates are eligible,"ASP.NET, CSS, HTML, JavaScript, Model View Controller(MVC), MS SQL Server","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:09:12,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025-09-27 22:09:12,Quality Analyst,Techdome Solutions Private Limited,Indore,Immediately,"₹ 10,000 - 15,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"Agile Methodology, Automation, Jira, Manual Testing, Performance Testing, TestNG, WebDriver","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:09:14,AWS DevOps Engineer,Techdome Solutions Private Limited,Indore,Immediately,"₹ 5,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"Ansible, CI/CD, Jenkins, Kubernetes, Linux, Object Oriented Programming (OOP), Software Development Life Cycle (SDLC)","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:09:16,Business Development (Sales),Zopper,Hyderabad,Immediately,"₹ 12,000 - 22,000 /month",6 Months,26 Oct' 25,Nothing,1. Any kind of degree will work as long as the person is street smart,"Client Relationship, Sales Management, Sales Strategy","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
