Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-21 14:37:29,Business Development Assosiate (Female),Requin Solutions Private Limited,Jaipur,Immediately,"₹ 10,000 /month",6 Months,Not Available,Nothing,Not Specified,"Client Interaction, Client Relationship, English Proficiency (Spoken), English Proficiency (Written), Research and Analytics",Certificate
2025-09-21 14:37:31,Dietetics/Nutrition,Mr n Mrs Pet,Jaipur,Immediately,"₹ 15,000 /month",6 Months,9 Oct' 25,Nothing,"1. Bachelor’s/Master’s degree in Nutrition & Dietetics (general degree, not limited to animal specialization).","Client Interaction, Client Relationship, Customer Support, Dietetics/Nutrition, English Proficiency (Spoken), English Proficiency (Written), Food Safety","Certificate, Mentorship"
2025-09-21 14:37:33,Search Engine Optimization (SEO),Mr n Mrs Pet,Jaipur,Immediately,"₹ 6,000 - 10,000 /month",6 Months,9 Oct' 25,Nothing,Not Specified,"Digital Marketing, English Proficiency (Written), Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",Certificate
2025-09-21 14:37:35,Field Sales,Global Edutech,Jaipur,Immediately,"₹ 7,500 - 15,000 /month",3 Months,10 Oct' 25,Nothing,"1. Pursuing/completed a Bachelor's degree in Business, Marketing, or any related field.","Client Relationship Management (CRM), Customer Acquisition, Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), Marketing, Market research, Research and Analytics","Certificate, Flexible, Letter Of Recommendation, Mentorship"
2025-09-21 14:37:38,Business Development (Sales),UDDHRISHI STUDIO,Jaipur,Immediately,"₹ 10,000 - 25,000 /month",6 Months,10 Oct' 25,Nothing,Not Specified,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-21 14:37:40,Content Marketing Executive (Female),Zenius,Jaipur,Immediately,"₹ 12,000 /month",6 Months,17 Oct' 25,Nothing,Not Specified,"Branding, Canva, Content Marketing, Content Writing, Creative Writing, English Proficiency (Written), Research and Analytics, Search Engine Optimization (SEO)","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-21 14:37:42,Influencer Marketing,EMIAC,Jaipur,Immediately,"₹ 5,000 - 7,000 /month",6 Months,18 Oct' 25,Nothing,Not Specified,"Effective Communication, English Proficiency (Spoken), Influencer Marketing, Social Media Marketing",Certificate
2025-09-21 14:37:44,Google & Facebook Ads,EMIAC,Jaipur,Immediately,"₹ 5,000 - 6,000 /month",6 Months,20 Oct' 25,Nothing,Not Specified,"Display Ads, Facebook Ads, Google AdWords","Certificate, Letter Of Recommendation"
2025-09-21 14:37:46,Influencer Marketing,EMIAC,Jaipur,Immediately,"₹ 5,000 - 6,000 /month",6 Months,20 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), Influencer Marketing","Certificate, Letter Of Recommendation"
2025-09-21 14:37:48,Sales and Marketing,Decathlon,Jaipur,Immediately,"₹ 10,000 - 10,001 /month",3 Months,20 Oct' 25,Nothing,Not Specified,"Retail Management, Sales Management","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-21 14:37:50,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025-09-21 14:37:50,Human Resource HR (Female),Zenius,Jaipur,Immediately,"₹ 12,000 /month",6 Months,11 Oct' 25,Nothing,Not Specified,"ATS, Cold Calling, Employment engagement, English Proficiency (Spoken), Grievance Handling, Human Resource Information System (HRIS), Onboarding, Recruitment","Certificate, Letter Of Recommendation, 5 Days A Week"
