Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-28 10:04:23,Digital Marketing,Plan D Media,Kolkata,Immediately,"₹ 9,000 - 13,000 /month",3 Months,18 Oct' 25,Nothing,Not Specified,"Client Interaction, Client Relationship, Creative Writing, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Paid Advertising, Project Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:04:25,Social Media Content Creator- Video,Pixelstreet,Kolkata,Immediately,"₹ 6,000 - 12,000 /month",3 Months,18 Oct' 25,Nothing,Not Specified,"Digital Marketing, Digital Marketing Tools, Social Media Marketing, Video Making","Certificate, Mentorship, 5 Days A Week"
2025-09-28 10:04:27,Telecalling (Female),SAK GROUP,Kolkata,Immediately,"₹ 4,000 - 10,000 /month",3 Months,19 Oct' 25,Nothing,Not Specified,"Digital Marketing, English Proficiency (Spoken)","Certificate, Letter Of Recommendation"
2025-09-28 10:04:29,Campus Ambassador,Youth Marketer,Ahmedabad,Immediately,Not Available,3 Months,22 Oct' 25,Nothing,2. Are currently enrolled in an undergraduate or graduate program at a university in India.,"Effective Communication, Interpersonal skills, Leadership, Lead Generation, Team Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:04:31,Content and Social Media Marketing,Iblix Digital,Kolkata,Immediately,"₹ 4,000 - 5,000 /month",3 Months,23 Oct' 25,Nothing,Not Specified,"Acting, Instagram Marketing, Research and Analytics, Script Writing, Social Media Marketing","Certificate, Flexible"
2025-09-28 10:04:33,Business Development (Sales),Iblix Digital,Kolkata,Immediately,"₹ 4,000 - 5,000 /month",3 Months,23 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), Sales Support","Certificate, Flexible"
2025-09-28 10:04:35,Interior Design,SDSR Consultancy Services Private Limited,Kolkata,Immediately,"₹ 10,000 - 15,000 /month",1 Month,24 Oct' 25,Nothing,Not Specified,"AutoCAD, Autodesk 3ds Max, Google SketchUp",Certificate
2025-09-28 10:04:37,Field Executive,SDSR Consultancy Services Private Limited,Kolkata,Immediately,"₹ 10,000 - 15,000 /month",1 Month,24 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Interpersonal skills, MS-Excel, MS-Office",Certificate
2025-09-28 10:04:39,E-Commerce,Ergode IT Services Private Limited,Kolkata,Immediately,"₹ 8,000 /month",6 Months,25 Oct' 25,Nothing,Not Specified,"E-commerce, Effective Communication, MS-Excel, Time Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 10:04:41,Human Resources (HR),CareerDNA,Kolkata,Immediately,"₹ 15,000 - 20,000 lump sum",3 Months,25 Oct' 25,Nothing,Not Specified,"Effective Communication, MS-Office, Recruitment, Talent Management","Certificate, Flexible, Letter Of Recommendation"
