Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-27 22:21:40,Search Engine Optimization (SEO),Web Dakaar Digital Consultancy LLP,Mumbai,Immediately,"₹ 5,000 - 6,000 /month",5 Months,Not Available,Nothing,Not Specified,"Digital Marketing, English Proficiency (Written), Google Analytics, Search Engine Optimization (SEO)","Certificate, Letter Of Recommendation"
2025-09-27 22:21:42,Social Media,Griebs Music Private Limited,Mumbai,Immediately,"₹ 5,000 - 7,000 /month",3 Months,5 Oct' 25,Nothing,Not Specified,"Adobe Premiere Pro, Canva, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:21:44,Business Development (Sales),AgriPort Life,Mumbai,Immediately,"₹ 25,000 - 50,000 /month",6 Months,15 Oct' 25,Nothing,"4. are from Mumbai, Nashik only","Business Development, Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Field Work, Interpersonal skills, Lead Generation","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:21:46,Marketing,Surge Media,Mumbai,Immediately,"₹ 7,000 - 10,000 /month",6 Months,11 Oct' 25,Nothing,Not Specified,"Branding, Canva, Influencer Marketing, Marketing Automation, Social Media Marketing, Storyboarding, Video Editing","Certificate, Letter Of Recommendation"
2025-09-27 22:21:48,Graphic Design,Web Dakaar Digital Consultancy LLP,Mumbai,Immediately,"₹ 8,000 - 10,000 /month",5 Months,Not Available,Nothing,4. Education: Graduation is a must. Applied arts or a graduation in bachelor of design (B.Des) will be preferred,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Video Editing",Certificate
2025-09-27 22:21:52,Zero-Waste Changemaker (Sustainability & Waste Management),AN Usedless Paper Private Limited,Thane,Immediately,"₹ 7,500 - 10,000 /month",3 Months,12 Oct' 25,Nothing,1. You’re up for a 3-month full-time hustle in Mumbai/Thane.,"Effective Communication, Time Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:21:55,Inside sales (Female),Quantify Capital,Mumbai,Immediately,"₹ 15,000 - 17,000 /month",3 Months,6 Oct' 25,Nothing,Not Specified,"Effective Communication, Interpersonal skills, MS-Excel","Certificate, Letter Of Recommendation, 5 Days A Week"
2025-09-27 22:21:57,Stock Market Technical Analyst,Money Making Trading Courses,Thane,Immediately,"₹ 6,000 - 20,000 /month",3 Months,13 Oct' 25,Nothing,2. Graduate or equivalent degree in a relevant field,"Market Analysis, Market research, Research and Analytics, Stock Trading, Technical Analysis","Certificate, Flexible"
2025-09-27 22:21:59,Company Secretary (CS),SHAH & PAREKH CONSULTANCY,Mumbai,Immediately,"₹ 9,000 - 12,500 /month",24 Months,15 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word",Certificate
2025-09-27 22:22:02,Investment Fund Intern,Succession Capital Partners,Ulhasnagar,Immediately,"₹ 1,50,000 /month",6 Months,19 Oct' 25,Nothing,"4. are from Ulhasnagar, Thane, Navi Mumbai, Mumbai, Virar, Vasai only","Critical thinking, Effective Communication, Entrepreneurship, Financial Modeling, Google Sheets, Research and Analytics, Written Communication","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:22:04,Nothing,Nothing,Not Available,Not Available,Not Available,Not Available,Not Available,Nothing,Not Specified,Not Available,Not Available
2025-09-27 22:22:04,Fundraising Associate,The Wishing Factory,Mumbai,Immediately,"₹ 4,000 - 5,000 /month",3 Months,17 Oct' 25,Nothing,Not Specified,"Canva, Computer skills, Effective Communication, Networking, Team Management, Time Management","Certificate, Flexible, Letter Of Recommendation"
2025-09-27 22:22:07,Social Media Marketing,CyberFrat,Mumbai,Immediately,"₹ 7,000 - 8,000 /month",6 Months,18 Oct' 25,Nothing,Not Specified,"Content Marketing, Content Writing, Creative Writing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), LinkedIn Marketing, Public Speaking","Certificate, Letter Of Recommendation"
2025-09-27 22:22:09,Human Resources (HR),Money Making Trading Courses,Thane,Immediately,"₹ 8,000 - 10,000 /month",3 Months,20 Oct' 25,Nothing,"4. are from Thane, Dombivli, Kalyan, Navi Mumbai, Panvel only","Data Analysis, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word","Certificate, Flexible, Letter Of Recommendation"
