Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Education,Skills,Perks
2025-09-28 09:47:49,Sales and Marketing,Propbutlers,Pune,Immediately,"₹ 18,900 - 71,000 /month",4 Months,Not Available,Nothing,Not Specified,"Client Relationship, Effective Communication, English Proficiency (Spoken), Interpersonal skills, Leadership, Marketing, Sales","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 09:47:51,CS Articleship,Akshay B,Pune,Immediately,"₹ 6,000 - 10,000 /month",24 Months,1 Oct' 25,Nothing,Not Specified,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, Problem Solving, Research and Analytics, Statutory compliances, Time Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 09:47:52,Human Resources (HR),Asentech LLC,Pune,Immediately,"₹ 15,000 - 20,000 /month",6 Months,15 Oct' 25,Nothing,Not Specified,"Employment engagement, English Proficiency (Spoken), MS-Office, Onboarding, Recruitment, Training and Development","Certificate, Flexible, 5 Days A Week"
2025-09-28 09:47:54,Business Development (Sales),Thryve Z,Chennai,Immediately,"₹ 17,000 - 35,000 /month",2 Months,25 Oct' 25,Nothing,"4. Recruit, train, and manage campus ambassadors across colleges.","English Proficiency (Spoken), Leadership, Marketing, Sales, Sales Strategy","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 09:47:57,Campus Ambassador,Youth Marketer,Ahmedabad,Immediately,Not Available,3 Months,22 Oct' 25,Nothing,2. Are currently enrolled in an undergraduate or graduate program at a university in India.,"Effective Communication, Interpersonal skills, Leadership, Lead Generation, Team Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 09:47:58,Video Editing/Making,Attento Technologies Pvt Ltd,Pune,Immediately,"₹ 10,000 /month",4 Months,24 Oct' 25,Nothing,Not Specified,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, CorelDRAW, DaVinci Resolve, Final Cut Pro, Video Editing","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 09:48:01,Inside Sales,Kraf Ventures,Pune,Immediately,"₹ 10,000 - 17,000 /month",3 Months,24 Oct' 25,Nothing,Not Specified,"Effective Communication, MS-Excel, Presentation skills","Certificate, Flexible, Letter Of Recommendation"
2025-09-28 09:48:03,Sales and Marketing,Shapoorji Pallonji Real Estate,Pune,Immediately,"₹ 13,000 - 22,000 /month",3 Months,25 Oct' 25,Nothing,Not Specified,"Business Management, Effective Communication, Marketing, Sales",Not Available
2025-09-28 09:48:04,Customer Service/Customer Support,THW - The Healthy World,Pune,Immediately,"₹ 8,000 - 12,000 /month",3 Months,26 Oct' 25,Nothing,"1. Be a student or recent graduate in business, marketing, agriculture, food tech, or related fields","Business Development, Digital Marketing, Effective Communication, English Proficiency (Spoken), Field Work, Interpersonal skills, Sales","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week"
2025-09-28 09:48:07,Digital Marketing,Trully Capital Fintech Private Limited,Pune,Immediately,"₹ 8,000 - 12,000 /month",6 Months,27 Oct' 25,Nothing,Not Specified,"Digital Marketing, Email Marketing, Facebook Marketing, Google AdWords, Instagram Marketing, Performance Marketing, Search Engine Optimization (SEO), Social Media Marketing","Certificate, Letter Of Recommendation"
